"department","salary_grade","ticket_res_time_hours","survey_number_of_questions","survey_response_scale","responded_to_survey"
"C","grade 3",62.03,"5 questions","binary",FALSE
"B","grade 3",6.57,"3 questions","likert",TRUE
"C","grade 3",24.39,"1 question","likert",TRUE
"C","grade 3",14.8,"5 questions","likert",FALSE
"C","grade 3",21.64,"1 question","likert",TRUE
"C","grade 3",11.13,"3 questions","binary",TRUE
"A","grade 3",15.43,"5 questions","likert",TRUE
"C","grade 3",46.74,"3 questions","binary",FALSE
"B","grade 3",16.86,"5 questions","likert",FALSE
"A","grade 3",4.96,"1 question","binary",TRUE
"A","grade 3",60.33,"3 questions","binary",FALSE
"B","grade 3",1.38,"3 questions","likert",TRUE
"A","grade 3",3.57,"1 question","likert",FALSE
"C","grade 2",49.83,"1 question","binary",TRUE
"B","grade 3",2.57,"1 question","binary",TRUE
"A","grade 2",80.82,"1 question","likert",TRUE
"A","grade 3",1.58,"1 question","likert",TRUE
"A","grade 3",36.71,"1 question","likert",FALSE
"B","grade 3",3.26,"1 question","binary",FALSE
"A","grade 3",7.51,"1 question","likert",FALSE
"A","grade 3",13.75,"5 questions","likert",FALSE
"B","grade 3",37.49,"1 question","likert",FALSE
"A","grade 3",48.01,"5 questions","likert",FALSE
"C","grade 3",24,"1 question","likert",FALSE
"C","grade 3",41.14,"3 questions","likert",TRUE
"C","grade 3",24.24,"1 question","likert",TRUE
"C","grade 2",20.33,"3 questions","likert",TRUE
"B","grade 3",87.91,"5 questions","binary",FALSE
"B","grade 3",12.76,"3 questions","binary",FALSE
"C","grade 3",16.4,"3 questions","binary",TRUE
"C","grade 2",17.38,"5 questions","binary",FALSE
"C","grade 3",25.04,"5 questions","likert",FALSE
"C","grade 3",13.7,"5 questions","binary",FALSE
"A","grade 3",5.98,"5 questions","likert",FALSE
"A","grade 3",0.91,"3 questions","likert",FALSE
"C","grade 3",22.95,"5 questions","likert",FALSE
"C","grade 1",31.49,"3 questions","likert",FALSE
"C","grade 1",7.89,"5 questions","binary",FALSE
"A","grade 3",4.57,"5 questions","likert",FALSE
"C","grade 3",12.2,"3 questions","likert",FALSE
"C","grade 3",41.45,"5 questions","likert",TRUE
"B","grade 3",75.64,"1 question","binary",TRUE
"C","grade 3",13.55,"3 questions","binary",FALSE
"B","grade 2",75.23,"1 question","binary",FALSE
"A","grade 3",0.52,"3 questions","likert",FALSE
"A","grade 2",15.69,"1 question","likert",FALSE
"A","grade 3",23.1,"1 question","likert",TRUE
"A","grade 2",36.36,"5 questions","likert",FALSE
"A","grade 3",19.93,"3 questions","likert",TRUE
"B","grade 3",12.64,"5 questions","likert",FALSE
"C","grade 2",46.14,"5 questions","binary",FALSE
"B","grade 3",21.92,"5 questions","likert",FALSE
"A","grade 3",3.65,"5 questions","binary",TRUE
"B","grade 3",14.56,"1 question","binary",TRUE
"A","grade 3",1.18,"3 questions","binary",FALSE
"A","grade 3",32.63,"1 question","likert",FALSE
"C","grade 3",57.98,"1 question","binary",TRUE
"B","grade 3",1.79,"1 question","likert",TRUE
"B","grade 1",42.53,"1 question","binary",TRUE
"B","grade 3",85.41,"3 questions","binary",TRUE
"C","grade 2",37.11,"5 questions","likert",FALSE
"B","grade 3",4.31,"1 question","likert",TRUE
"A","grade 3",1.28,"3 questions","binary",TRUE
"C","grade 3",62.57,"1 question","likert",FALSE
"A","grade 3",37.31,"3 questions","binary",FALSE
"C","grade 3",21.2,"3 questions","binary",FALSE
"C","grade 3",61.84,"1 question","binary",TRUE
"C","grade 2",17.15,"5 questions","binary",TRUE
"A","grade 3",1.54,"3 questions","likert",FALSE
"B","grade 3",12.32,"5 questions","binary",FALSE
"B","grade 2",13.91,"1 question","likert",FALSE
"C","grade 2",13.55,"5 questions","likert",FALSE
"C","grade 3",0.08,"5 questions","likert",TRUE
"C","grade 3",28.72,"3 questions","binary",TRUE
"B","grade 3",10.23,"1 question","likert",FALSE
"A","grade 2",32.48,"1 question","likert",FALSE
"A","grade 3",1.65,"1 question","binary",FALSE
"C","grade 1",0.1,"5 questions","binary",FALSE
"C","grade 2",13.43,"5 questions","binary",FALSE
"C","grade 3",27.18,"1 question","binary",TRUE
"B","grade 3",1.84,"5 questions","likert",TRUE
"A","grade 3",29.55,"3 questions","binary",TRUE
"A","grade 1",58.7,"3 questions","binary",TRUE
"C","grade 3",71.75,"5 questions","binary",FALSE
"C","grade 3",17.18,"3 questions","binary",TRUE
"A","grade 3",16.79,"1 question","likert",FALSE
"C","grade 1",0,"3 questions","likert",TRUE
"B","grade 3",29.96,"5 questions","binary",FALSE
"A","grade 1",25.06,"3 questions","likert",FALSE
"C","grade 3",14.47,"3 questions","likert",FALSE
"B","grade 3",55.21,"1 question","binary",FALSE
"C","grade 2",14.48,"1 question","binary",TRUE
"B","grade 3",28.84,"1 question","binary",FALSE
"C","grade 3",8.82,"1 question","binary",TRUE
"C","grade 3",47.06,"3 questions","likert",FALSE
"C","grade 3",55.63,"3 questions","likert",TRUE
"B","grade 3",59.65,"1 question","binary",TRUE
"A","grade 3",14.1,"1 question","likert",TRUE
"C","grade 3",14.79,"5 questions","likert",FALSE
"A","grade 2",23.15,"3 questions","likert",TRUE
"B","grade 3",22.78,"5 questions","likert",TRUE
"C","grade 3",51.72,"1 question","binary",FALSE
"C","grade 2",9.03,"5 questions","binary",FALSE
"C","grade 2",27.54,"3 questions","likert",TRUE
"B","grade 3",16.95,"1 question","likert",TRUE
"A","grade 3",2.84,"5 questions","binary",TRUE
"C","grade 2",52.76,"1 question","likert",TRUE
"B","grade 1",3.61,"5 questions","likert",FALSE
"C","grade 3",17.56,"1 question","binary",TRUE
"C","grade 3",21.9,"1 question","binary",FALSE
"A","grade 3",0.4,"3 questions","likert",FALSE
"C","grade 3",32.7,"1 question","binary",TRUE
"C","grade 3",48.97,"3 questions","binary",FALSE
"C","grade 3",42.35,"5 questions","likert",TRUE
"C","grade 3",29.39,"1 question","likert",FALSE
"B","grade 2",5.5,"5 questions","binary",TRUE
"C","grade 3",68.43,"1 question","binary",FALSE
"C","grade 3",18.84,"3 questions","binary",TRUE
"B","grade 3",4.68,"5 questions","binary",FALSE
"C","grade 3",12.22,"5 questions","likert",FALSE
"C","grade 1",63.51,"3 questions","likert",FALSE
"C","grade 3",3.87,"1 question","binary",FALSE
"A","grade 3",4.43,"1 question","likert",TRUE
"C","grade 3",19.06,"5 questions","binary",TRUE
"B","grade 2",47.03,"3 questions","likert",TRUE
"C","grade 3",37.27,"1 question","likert",TRUE
"B","grade 3",62.81,"1 question","likert",TRUE
"C","grade 3",66.86,"5 questions","binary",FALSE
"C","grade 3",25.38,"5 questions","binary",TRUE
"A","grade 2",2.5,"1 question","likert",TRUE
"C","grade 1",16.65,"5 questions","likert",FALSE
